site;site_code;sector_area;level_unit;sublevel_phase;cultural_attribution;cultural_attribution_confidence;sample_id;lab_code;method;pretreatment;sample_type;taxon_material;age_result;error_1sigma;age_scale_original;curve;reference;year_sample_or_measure;relation_to_human_presence;context_role;evaluation_final;same_sample_group;bin_id;use_14c_primary;use_mixed_all_methods;use_human_presence;use_cultural_subset;selection_note
La Griera;GR;I0-IIa-69;II;;UP;low;GR-004;Beta-493572;14C;AAA;charcoal;Pinus tipo sylvestris;22350;90;14C_BP;IntCal20;Morales et al. 2025;;indirect_contextual;dates_archaeological_unit;include;;GR_II;yes;yes;yes;no;"Fecha principal aceptada para el nivel II; útil para secuencia local y presencia humana, pero la adscripción cultural sigue siendo demasiado imprecisa para el subconjunto cultural."
La Griera;GR;Gr15-II-G1-2130;IIa;;Late Aurignacian;high;GR-008;OxA-34305;14C;ABOx-SC;charcoal;Pinus tipo sylvestris;30860;260;14C_BP;IntCal20;Morales et al. 2025;;indirect_contextual;dates_archaeological_unit;include;;GR_IIa;yes;yes;yes;yes;"Fecha 14C robusta del nivel IIa; ancla principal del Auriñaciense evolucionado/Late Aurignacian en La Griera."
La Griera;GR;Gr-III-H5-365;IIa;;Late Aurignacian;high;GR-009;R-EVA-2037;14C;;bone;;28670;130;14C_BP;IntCal20;Morales et al. 2025;;indirect_contextual;dates_archaeological_unit;include;;GR_IIa;yes;yes;yes;yes;"Determinación válida y coherente dentro del paquete cronológico de IIa; útil para presencia humana y subconjunto cultural."
La Griera;GR;Gr-III-I5-7;IIa;;Late Aurignacian;high;GR-010;R-EVA-2043;14C;;bone;;31310;160;14C_BP;IntCal20;Morales et al. 2025;;indirect_contextual;dates_archaeological_unit;include;;GR_IIa;yes;yes;yes;yes;"Determinación válida y coherente dentro del paquete cronológico de IIa; útil para presencia humana y subconjunto cultural."
La Griera;GR;GR22-F2-;IIb;base;MP;medium;GR-011;GR22-OSL-01;OSL;;sediment;;52000;4000;BP;;unpublished;2022;stratigraphic_bracket;lower_bracket;include;;GR_IIb_base;no;yes;no;no;"OSL aceptada bajo IIb; entra solo como bracket inferior indirecto del último PM y no como evidencia directa de presencia humana."
La Griera;GR;GR22-E4;III.2;top;MP;high;GR-014;GR22-OSL-02;OSL;;sediment;;66000;4000;BP;;unpublished;2022;indirect_contextual;dates_archaeological_unit;include;;GR_III2;no;yes;yes;yes;"OSL aceptada para el techo de III.2; constriñe una unidad arqueológica musteriense útil para las bases mixta, de presencia y cultural."
La Griera;GR;Gr17-III-H2-1956;III.2;base;MP;high;GR-015;GR17-OSL-01;OSL;;sediment;;69490;3990;BP;;unpublished;2017;indirect_contextual;dates_archaeological_unit;include;;GR_III2;no;yes;yes;yes;"OSL aceptada para la base de III.2; constriñe una unidad arqueológica musteriense útil para las bases mixta, de presencia y cultural."
La Griera;GR;Gr17-III-H3-1156;III.3;top;MP;high;GR-016;GR17-OSL-02;OSL;;sediment;;83220;4730;BP;;unpublished;2017;indirect_contextual;dates_archaeological_unit;include;;GR_III3;no;yes;yes;yes;"OSL aceptada para III.3; útil como constricción cronológica de una unidad arqueológica musteriense."
La Griera;GR;Gr17-III-E7-1284;IV.3;;MP;high;GR-017;GR17-OSL-03;OSL;;sediment;;105490;8390;BP;;unpublished;2017;indirect_contextual;dates_archaeological_unit;include;;GR_IV3;no;yes;yes;yes;"OSL aceptada para IV.3; útil como constricción cronológica de una unidad arqueológica musteriense."
La Griera;GR;Gr17-V-E7-1286;V;;MP;high;GR-018;GR17-OSL-04;OSL;;sediment;;148120;9170;BP;;unpublished;2017;indirect_contextual;dates_archaeological_unit;include;;GR_V;no;yes;yes;yes;"OSL aceptada para V; útil como constricción cronológica de una unidad arqueológica musteriense, con cautela porque la unidad profunda se apoya en una sola OSL."
Teixoneres;TX;Chamber X;II;anthropogenic;uncertain;uncertain;J12 n°8;MAMS-17600;14C;ultrafiltration;bone;Cervus elaphus;36850;211;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;include;;TX_Chamber_X_II;yes;yes;yes;no;"Direct human-modified bone from Unit II; useful for local sequence and human presence, but not for cultural subset because Unit II is culturally uncertain."
Teixoneres;TX;Chamber X;II;;uncertain;uncertain;K15 n°32;MAMS-17607;14C;ultrafiltration;bone;Large size;34940;173;14C_BP;IntCal20;Talamo et al. 2016;;uncertain;mixed_or_uncertain;include;;TX_Chamber_X_II;yes;yes;no;no;"Unmodified bone retained as local sequence constraint in Unit II; not used for human-presence or cultural subsets."
Teixoneres;TX;Chamber X;II;anthropogenic;uncertain;uncertain;K14 n°58;MAMS-18668;14C;ultrafiltration;bone;Small size;39000;260;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;include;;TX_Chamber_X_II;yes;yes;yes;no;"Direct human-modified bone from Unit II; useful for local sequence and human presence, but not for cultural subset because Unit II is culturally uncertain."
Teixoneres;TX;Chamber X;II;anthropogenic;uncertain;uncertain;K16 n°26;MAMS-18669;14C;ultrafiltration;bone;Cervus elaphus;40800;320;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;include;;TX_Chamber_X_II;yes;yes;yes;no;"Direct human-modified bone from Unit II; useful for local sequence and human presence, but not for cultural subset because Unit II is culturally uncertain."
Teixoneres;TX;Chamber X;II;;uncertain;uncertain;K12 n°33;MAMS-17601;14C;ultrafiltration;bone;Medium size;39320;263;14C_BP;IntCal20;Talamo et al. 2016;;uncertain;mixed_or_uncertain;include;;TX_Chamber_X_II;yes;yes;no;no;"Unmodified bone retained as local sequence constraint in Unit II; not used for human-presence or cultural subsets."
Teixoneres;TX;Chamber X;II;;uncertain;uncertain;J12 n°85;MAMS-17608;14C;ultrafiltration;bone;Medium size;34900;175;14C_BP;IntCal20;Talamo et al. 2016;;uncertain;mixed_or_uncertain;include;;TX_Chamber_X_II;yes;yes;no;no;"Unmodified bone retained as local sequence constraint in Unit II; not used for human-presence or cultural subsets."
Teixoneres;TX;Chamber X;III;anthropogenic;MP;high;N10 n°122;MAMS-18671;14C;ultrafiltration;bone;Cervus elaphus;47200;670;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;doubtful;;TX_Chamber_X_III;no;no;no;no;"Direct human-modified bone from MP Unit III; retained as doubtful because it lies near the 14C limit and shows low individual agreement."
Teixoneres;TX;Chamber X;III;anthropogenic;MP;high;L15 n°22;MAMS-18672;14C;ultrafiltration;bone;Medium size;42020;340;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;include;;TX_Chamber_X_III;yes;yes;yes;yes;"Direct human-modified bone from MP Unit III; useful for local sequence, human presence and cultural subset."
Teixoneres;TX;Chamber X;III;anthropogenic;MP;high;O11 n°125;MAMS-18673;14C;ultrafiltration;bone;Cervus elaphus;41060;345;14C_BP;IntCal20;Talamo et al. 2016;;direct;dates_human_activity;include;;TX_Chamber_X_III;yes;yes;yes;yes;"Direct human-modified bone from MP Unit III; useful for local sequence, human presence and cultural subset."
Teixoneres;TX;Chamber X;III;;MP;high;J18 n°26;MAMS-17609;14C;ultrafiltration;bone;Unidentified;42250;359;14C_BP;IntCal20;Talamo et al. 2016;;indirect_contextual;dates_archaeological_unit;include;;TX_Chamber_X_III;yes;yes;no;no;"Unmodified bone retained as sequence constraint within MP Unit III; excluded from human-presence and cultural subsets on conservative grounds."
Teixoneres;TX;Chamber X;III;;MP;high;K11 n°61;MAMS-17603;14C;ultrafiltration;bone;Medium size;41270;327;14C_BP;IntCal20;Talamo et al. 2016;;indirect_contextual;dates_archaeological_unit;include;;TX_Chamber_X_III;yes;yes;no;no;"Unmodified bone retained as sequence constraint within MP Unit III; excluded from human-presence and cultural subsets on conservative grounds."
Teixoneres;TX;Chamber X;III;;MP;high;K12 n°40;MAMS-17604;14C;ultrafiltration;bone;Medium size;41560;337;14C_BP;IntCal20;Talamo et al. 2016;;indirect_contextual;dates_archaeological_unit;include;;TX_Chamber_X_III;yes;yes;no;no;"Unmodified bone retained as sequence constraint within MP Unit III; excluded from human-presence and cultural subsets on conservative grounds."
